"geneid","length"
"CCL21",4061
"JAKMIP3",6821
"TRIM63",3222
"C20orf204",6203
"RSPH4A",3847
"ITGA2",408
"TTC17",3177
"DNMT3A",1577
"ULK4",5757
"MIR4730",6125
"IGSF9",5544
"MTFP1",8602
"GATA4",2921
"DAND5",6024
"PEG3",2354
"PPP2R5B",6684
"SMCP",4049
"MAVS",4983
"CARHSP1",2427
"PRKG2",3889
"EIF4E1B",3227
"KLK15",3034
"HERC1",3536
"HIST1H4A",2925
"SEZ6L",3637
"DLG1",5128
"UNC5C",2928
"RGS17",10620
"LOC653160",3328
"RFPL1",12227
"CDC42EP1",3092
"TPP1",8240
"MYCBPAP",12131
"PSMG2",2164
"LOC100507642",6524
"LOC101927142",4714
"TDRD15",1931
"MIR1291",3138
"ANKRD26",7625
"GPR19",8917
"CREBZF",2304
"TRAM1L1",1562
"BOD1L2",665
"COA6-AS1",1318
"CCDC37-DT",975
"HJURP",6489
"SLC6A5",4226
"PRKAR1A",522
"USP3-AS1",6257
"CDH24",1648
"TRAF3IP2-AS1",8437
"PTPN22",10069
"SYNDIG1",9816
"OR8D2",8560
"SNORA19",1941
"IQGAP2",1462
"LHX5-AS1",5603
"LINC02398",2536
"LOC100505978",14153
"PNLIP",10119
"GPN2",3872
"MGAM",1119
"FANCF",2958
"RPUSD1",3393
"DSEL",4513
"KCCAT198",1812
"B3GNT7",4177
"TPSD1",2046
"MIR586",1707
"LINC01336",8123
"ASB17",2981
"IFI27",6865
"MIR331",8162
"ARHGAP40",2128
"C7orf57",6232
"SKIL",3447
"CNN1",9425
"LOC105376599",6614
"HMGCS1",10287
"GOLGA8J",2959
"RAB26",3434
"LLPH-DT",6206
"GLRX",19776
"TTYH3",7789
"LINC01273",6909
"AATBC",2801
"LINC00351",3159
"DLC1",3459
"GTF3C1",2980
"PLA1A",12005
"GDF10",2847
"C8orf74",4567
"FBXO31",7360
"LINGO1",2781
"VAMP4",6297
"DKFZP434H168",5144
"GNA12",5218
"FOXL1",4921
"LOC101929109",4045
"RAB6D",10870
"RASGEF1A",11167
"FAM120C",3034
"PTGES2",1380
"LRPAP1",2797
"MN1",11421
"LALBA",3733
"OR12D2",6372
"BCAP31",2219
"BTBD7",7069
"FAM111A-DT",2897
"SNORA59B",7596
"FGFBP1",7696
"AGMO",5566
"TXN",2675
"LOC100287792",4680
"LINC00908",11425
"PNCK",4849
"LYZL4",2614
"LOX",6403
"IL6",2807
"LINC01991",8139
"SHARPIN",4915
"ARF1",2467
"CDADC1",6072
"SPACA7",7870
"NUBP2",7101
"UBALD1",5492
"CXorf58",3548
"VWA7",2010
"HID1",3352
"RHBDL3",8632
"LMBRD1",5657
"SNORD115-46",8305
"CCDC155",10580
"CLEC4C",5791
"COLEC12",2508
"DIS3L2",4465
"HOMER1",6565
"RPS6KA3",4830
"SRPRB",2044
"EPS15",2739
"LOC100288570",2421
"MIR6812",2655
"BMPR2",3631
"SNRPB",6710
"MIR6766",10655
"SLC25A28",1577
"CXorf49B",2883
"MIR4320",1396
"LNX2",2769
"LINC00211",9539
"OR5B17",1938
"RN7SL832P",1473
"CCNB3",866
"TRIM27",11851
"UBR3",7820
"SLC16A2",8191
"ETAA1",8655
"FGD3",8102
"LINC01546",3627
"XIST",4532
"JSRP1",6576
"MIR6129",11444
"ATP6V0C",1106
"KLHDC10",11740
"LINC01410",7701
"HMBOX1",7958
"ZFYVE21",12318
"C4B",12446
"LRRC55",3760
"RUFY2",12331
"AJAP1",6592
"LINC00939",6118
"DPM1",3221
"TRIM10",5826
"LINC02475",1508
"OR5T3",2196
"ESS2",7673
"KNL1",8366
"LINC01761",2740
"ASCL1",5321
"SLC38A5",10037
"SNORA71A",5316
"LINC00926",7394
"ZNF675",3717
"ZMYM6",4199
"DOCK3",5856
"LRCH4",2128
"PIGO",19636
"MMRN2",8675
"ELP2",6449
"DLST",2186
"LOC284898",1640
"CARD11",9905
"MIR3613",4523
"MBD4",4384
"OR2H2",3877
"RCAN1",10843
"MIR6769A",6433
"MIR3649",6939
"CDH10",7416
"LOC101927164",5497
"GH1",10391
"PITPNM2",8774
"SUGT1P4-STRA6LP",4601
"GHRHR",11690
"LOC149373",9444
"LINC01311",2832
"ZNF454",4777
"BMI1",2638
"POU3F3",2523
"SNAI3-AS1",2494
"DAZ4",6532
"USP27X-AS1",5745
"F13A1",3883
"WDFY1",8392
"RAD51C",7113
"ESRP1",9865
"CLCN1",9823
"PHETA1",6723
"CBLB",6473
"SCAMP4",5230
"OR2L1P",6931
"RNFT1-DT",4010
"LOC728554",1187
"LINC00359",2322
"RUNX3",3399
"ACOT2",5082
"GUF1",6565
"PP2D1",8741
"SRRM2-AS1",3440
"TAF2",1465
"TMEM208",1542
"EIF1AD",6795
"MIR4756",3218
"KATNBL1P6",14301
"TMEM216",8093
"FLYWCH1",4204
"SLC8A3",7063
"MIR6072",4491
"TTC38",7350
"MSC",4648
"CRIP1",5280
"PIP4P1",4305
"LDAH",4856
"C1QL2",3759
"LINC01123",6250
"RNF215",4899
"PMVK",3026
"ZNF253",6644
"SPAG11B",6200
"FSD1L",3025
"SPATA20",2595
"KRT10",3211
"CBX7",1209
"TMEM26",1362
"ARNTL2-AS1",2558
"IRX6",7648
"DNM2",5682
"C2",3668
"GS1-124K5.11",6015
"NDUFA13",8361
"ZKSCAN5",5724
"CUX2",3922
"TOMM40L",8931
"ARHGEF3-AS1",9720
"GYG2P1",2811
"LINC00326",1124
"MSANTD2",10128
"ESYT1",3005
"GPR12",5876
"CCDC166",6280
"UGT3A2",4608
"PRKCH",3117
"HCN4",8251
"GALC",6264
"PTGER3",5214
"EXOC3-AS1",2639
"B4GAT1",4813
"DLGAP4-AS1",2102
"DEFB115",3996
"CPXCR1",3627
"DCAF4L1",5714
"LINC00423",10015
"FAM114A2",1549
"OC90",2679
"LINC01877",8664
"WIPI1",5674
"ING5",3282
"JMJD1C",3249
"KIAA1109",3723
"GABRA4",14718
"C17orf77",3901
"PLA2G2E",8648
"LINC00865",13655
"LINC01500",1075
"VMAC",1218
"TSPAN5",6588
"DSG2-AS1",6549
"DSCR4",8320
"CCDC92",13993
"ANGEL1",5818
"GDPD5",7190
"CD209",10749
"FHOD1",1551
"TPBG",2981
"CASP14",4687
"ZBTB33",7474
"NEDD8-MDP1",2843
"C16orf74",6616
"CHRDL2",3113
"BPIFB3",2736
"MAX",3437
"MED11",5653
"CRYM-AS1",6004
"DAZ3",3738
"MIR3171",2700
"PPP1R13B",9620
"WNT6",2452
"ARL5A",4281
"VSIR",4762
"EGFR-AS1",1806
"ATP2A1",5009
"TP53RK",4725
"SRD5A1",8722
"RPL13AP6",3542
"LOC105369473",889
"SAMD13",5393
"TRAFD1",5731
"UBE2N",3789
"MFNG",3132
"GPR33",2983
"NRAS",6246
"MBLAC2",2018
"PCDHGB6",6773
"KLHL11",14483
"AP3B1",1281
"OTUD6A",6759
"GKN2",3115
"LRRC14",4022
"MON1A",6090
"WSCD2",1344
"MIR4706",552
"HAP1",6783
"KCNJ12",7795
"SNRPD1",3744
"ELP5",3158
"TRAPPC3",5971
"THAP12",1448
"SAMD11",12481
"NMB",5658
"KCNE3",3082
"SNORD115-3",13230
"KPNB1",15016
"TRAP1",5909
"DLGAP1-AS4",2840
"MRPL34",4226
"NCF1C",1321
"VAMP1",1800
"RPL36A",9052
"LINC01551",8749
"MIR526A2",10359
"LOC105371083",9462
"MTFR1L",4150
"MIR548O",2517
"C20orf96",12496
"MIR23A",7791
"NRG3-AS1",4916
"TTLL6",5014
"SEC61A2",2230
"WNT11",3137
"FANCE",5888
"LINC01659",7595
"CPA2",3314
"LINC02382",7820
"CFAP54",7700
"LRRC34",11143
"MTM1",4563
"DLGAP1-AS1",3142
"PIK3CD-AS1",3833
"SLAIN1",4273
"RSL1D1",4457
"HCG17",8135
"MBL1P",2554
"TEX28",2958
"PPBPP2",6036
"NRIP2",6860
"LOC105371430",1912
"IL22",6239
"VASH1-AS1",3576
"RIOK2",7118
"RSAD1",18985
"OR2A1",1375
"LZTS1",1859
"DNAJA1",1067
"USP29",3650
"ARSB",6575
"GRIA2",11198
"ZC3H15",14187
"MIR891B",6259
"FAM19A2",8164
"SPIDR",2515
"ARHGEF10",18602
"GIMAP4",3105
"MIR548D2",2925
"DCHS1",3952
"VIPR1",9786
"GLRA3",3444
"LRMDA",3637
"ISPD-AS1",3302
"MS4A5",16416
"BCAR3",6651
"SNORD1B",4926
"CPLX2",988
"DHRS7B",2135
"LINC01068",5952
"PSMB4",2332
"DMXL2",8115
"PPIF",5765
"LOC100505841",3276
"VPS39",5164
"C20orf85",5796
"THAP9",9274
"LINC01592",11731
"SPDYE2",2174
"DNM1P46",5808
"NUP62CL",7059
"LOC105370526",7412
"KDM5B",3260
"KRTAP27-1",4919
"QRICH2",5525
"RETN",10374
"LINC01561",3106
"TSPOAP1-AS1",2633
"C9orf62",4394
"REXO5",4161
"RPS6KC1",767
"COL20A1",4134
"TAF1L",6565
"NELL2",2476
"STARD7",8968
"PPARG",6904
"TTC27",3733
"OR2T11",1842
"NPEPL1",2568
"INSIG1",11099
"TBX18",9413
"LPCAT2",1835
"RPL13AP5",5519
"NDUFB2",3592
"MIR1249",4290
"LINC01135",14877
"ITPRIP",11237
"TUBB1",5614
"CDR2L",8473
"CAPN6",11224
"SPR",5662
"CDKN2D",1869
"SCGB2A2",2845
"PDYN",4226
"HMGCLL1",2699
"CCNT2",6171
"WASIR1",3596
"PSMD9",1876
"GINS3",2612
"TRA2B",17368
"ISOC2",2240
"INPP5J",12348
"C2orf91",2523
"MARC1",5648
"LINC02001",4032
"INTS3",5802
"TRNT1",2248
"OR10A6",6029
"PIGH",2318
"RNF180",1113
"PMM1",2976
"COX6B1",6843
"IL10",3314
"POLR2I",2539
"POLQ",9024
"MIR34C",4202
"AS3MT",12251
"TMEM39B",1250
"MIR6729",5686
"ALYREF",4983
"MIR553",1922
"LOC101927989",5123
"NSMCE1",4304
"NBEAL2",11414
"DLX6",3801
"RABL6",14431
"RNASE13",7859
"PDLIM5",4579
"RPS24",3333
"RHOXF1-AS1",3202
"ADIPOR1",3787
"F10-AS1",11575
"NKX6-1",6053
"ZNF441",8997
"POP4",9311
"SARAF",4264
"IL10RB",1254
"FASTK",5290
"LOC101929595",2980
"UBA3",8469
"CUTA",10216
"RTEL1-TNFRSF6B",4126
"RRP1B",3408
"AP1AR",4304
"SBDS",3658
"SUZ12",11815
"LXN",12097
"C11orf21",5223
"TREML1",6785
"MIR548AY",6610
"SLC6A12",4702
"FFAR3",3361
"TRHR",2392
"MIR4740",7046
"HIVEP2",3958
"KRTAP10-5",8245
"CPZ",6202
"LRIF1",4751
"PABPN1L",6511
"WASHC3",2156
"CCL3",3018
"KCNJ3",3635
"SRPRA",5468
"C2CD4C",1570
"ZNF555",4203
"LTB4R2",3660
"PRKCD",3502
"SNORD51",4831
"GPM6A",4097
"GLI1",6215
"FAM171A1",8697
"ZG16",5954
"TTTY16",1738
"IMPACT",3355
"C18orf54",3408
"IGSF21",3266
"MIR3198-1",3765
"AKAP3",6944
"DNPH1",7924
"DNAJB5-DT",4017
"MAN1A1",2151
"C5orf67",6695
"NOL4L",8604
"APCDD1",12822
"PPP1R2",3220
"FETUB",7189
"XPNPEP3",6368
"CLCF1",4605
"GABRB2",6586
"KBTBD12",2761
"XIRP1",3924
"ESRRG",1938
"MBOAT4",4709
"SLC1A7",10702
"ADAMTS1",4447
"CLUHP3",3096
"ANGPT1",4019
"MIR7151",7780
"CFAP69",12379
"APOA4",3633
"ALG1L",4934
"MIR17HG",2785
"SFMBT1",9324
"PDE6D",9866
"LINC01951",5071
"HIVEP1",3493
"PAGE2B",5718
"PEAK1",2815
"LMO2",15266
"KIAA1841",16286
"TMEM267",6766
"SIM1",5011
"FAM207A",3952
"PPP2R2D",13108
"LINC01822",5984
"SMOX",818
"MIR6782",9771
"MRPL55",1587
"JPH3",7794
"XXYLT1-AS1",3961
"MIR1224",6820
"TNS1",12771
"TPTEP1",9233
"CHST4",5661
"MICU2",5275
"SUCLG2",9172
"CCKAR",2422
"CERK",3777
"PTK7",11864
"WWTR1-AS1",4807
"PAPPA",7049
"EXOSC8",2951
"ARFRP1",7201
"DBIL5P",5265
"PROSER2",6821
"LINC00922",3421
"BOLA1",10076
"GAS2",17730
"CD180",8714
"LOC400684",7164
"AXIN2",8779
"WASHC5",7745
"TBX3",6263
"LINC00994",14139
"LINC01954",7137
"VTI1A",1758
"FBXO32",1623
"EEA1",2440
"HSP90AB4P",6128
"MIR320D1",10272
"CXorf67",5679
"UPK1A-AS1",5119
"RHOBTB2",4686
"RPL32P3",4356
"RSPH3",4700
"ZNF729",5109
"LOC105376731",8457
"MT1X",2165
"SLC48A1",4066
"CTSA",3405
"TRPM3",2730
"LINC00398",7163
"SNORD115-21",3740
"CDY1",5061
"CDK2AP1",5938
"ABHD18",2983
"MEST",3583
"BLOC1S5",4574
"LINC00858",9404
"LINC02067",3433
"CDCA2",5984
"KLHDC9",9264
"ZDHHC9",3793
"SPRTN",8733
"POMT1",8451
"FGF9",7532
"SCG5",12813
"ZNF329",9848
"NR3C1",4420
"IL15",845
"SLC16A11",3905
"ZMYND10",9277
"PILRA",3239
"RBM15",3147
"NUDT10",11897
"EFNB3",11982
"MUC5AC",5634
"NUDT4",3082
"SPATA31D5P",2835
"TNXB",3275
"RRM2",3113
"KCNK6",7531
"SNX5",6107
"THSD7A",11111
"ADAMTS15",7355
"TMEM104",6644
"CAMKK1",2062
"GABBR2",6659
"MIS18BP1",11139
"GRIN2C",5499
"LINC00239",2754
"LINC00221",7650
"PABPC1L2A",4994
"ZFHX4",11237
"CCDC171",3132
"LBX1-AS1",2406
"MROH7-TTC4",3677
"FBXO46",2682
"TLK2",2086
"SCG3",4430
"MGA",12054
"ISG20",11840
"MIR6724-3",11877
"EPB41L3",3766
"SULT1C2",7035
"HTATSF1",3627
"ZDHHC6",7474
"WNT1",5171
"SH3KBP1",3764
"DPRX",7579
"LOC101927822",5114
"ALG3",2709
"TRIM43",6021
"DMRTB1",9993
"HSDL1",6592
"PNPT1",4048
"B3GNT5",10944
"MIR4421",5130
"WBP1",6149
"SLC43A2",2186
"PDCD5",2266
"ZNF138",4366
"MRPL24",7064
"GCNT4",6301
"OR4E1",2945
"GAB3",7811
"MIR4424",5355
"TMPRSS11A",2715
"COL26A1",4227
"TIA1",19425
"MIR5007",5112
"ILF2",3921
"LINC01851",15744
"RTN4",7488
"PGA5",4901
"TSPAN12",6256
"FAM189A1",10236
"OR13F1",1578
"OR56A3",11441
"LEMD1-AS1",1668
"MMP21",3161
"LINC02405",1912
"SATL1",4761
"KLHL35",5489
"SNORD116-24",8650
"TMEM31",7173
"LINC00907",7384
"EDNRB",13872
"LINC01587",4627
"POLK",3781
"FAM66C",1168
"OR1M1",17356
"TTTY2B",8523
"FANCB",13628
"TEDDM1",8257
"ZNF283",5324
"GOLGA2P5",6391
"ERLIN1",5091
"TNNT2",14373
"SRP72",1915
"CAMK2G",6421
"KISS1R",1455
"OR5AC2",6440
"LINC01270",9015
"ZP1",2709
"ZNF507",5005
"ZNF346",15732
"MIR1273H",2124
"SUCLG2-AS1",1343
"LINC02206",10832
"WDR45B",7870
"NID2",5665
"EHD2",6929
"CCDC137",2892
"KLHL8",7445
"KRT38",5111
"DDR2",12049
"MFSD4B",4562
"LINC00229",9281
"C16orf54",9372
"OR4C46",1197
"ZMIZ2",2312
"RDH13",5624
"MIR125B2",1538
"RNF145",7005
"GLT8D2",7885
"CLSPN",7155
"LIN7A",1983
"PSMB11",3428
"GLYATL2",3990
"TLE6",14921
"GLIS3-AS1",5978
"FBXL14",5625
"RTN4RL2",5839
"PPCDC",5341
"WDR63",5329
"RPAIN",6357
"TFPI",1982
"SLC2A14",7901
"MSH2",7698
"UBE2Q2",3765
"LMF1-AS1",6299
"PRDX2",4092
"RNU6ATAC",6322
"RHBDD1",2449
"FAP",3792
"HDAC3",2387
"PPHLN1",12610
"PRR11",4528
"LINC02037",2137
"CRLF2",3664
"ANKRD29",1522
"KIF1A",3234
"IL26",5094
"TRPS1",7533
"PKP2",2629
"MEX3A",2958
"NIPAL2",7775
"MADCAM1",2775
"IGSF22",18504
"ADARB1",2634
"RAB5C",6644
"LINC02539",3001
"USP32P1",4363
"LINC01788",3049
"EVC2",4686
"MKRN7P",2151
"OR9G4",5308
"LRTM1",14537
"C1QTNF3",4383
"RPA3",2744
"RADX",4601
"CTSV",5254
"TBX5",5066
"DEFB132",3962
"HBBP1",1725
"KIF18A",2412
"TPH1",17315
"KCNMB3",6053
"CPO",9827
"ALX4",8501
"FAM214A",13514
"AATK",3182
"TRA2A",2230
"PRRG1",4767
"ADTRP",7259
"SPTY2D1",6442
"FCER1G",18125
"C1orf167",3052
"SLC16A7",2977
"LINC01695",2830
"MIR1302-4",9098
"HCG14",1143
"OR51G2",8219
"MIR4717",4833
"PRSS45",2816
"LOC102546294",2722
"CDC42EP5",3051
"PGGT1B",9164
"ALKBH6",5549
"SOX14",4487
"KIAA0930",1831
"CERS6-AS1",4296
"UVRAG-DT",1977
"EPN3",13423
"FAM13A",5867
"DBI",7018
"PDE6C",6994
"GET4",3073
"SLC45A1",3334
"HNRNPA3",4600
"LINC00664",7083
"MIR4506",1703
"ACSM1",2644
"ERI2",5746
"CHST3",4353
"SCNN1B",2966
"LOC100129697",5984
"MIR3119-2",6626
"DIRC1",7514
"LOC105375483",2760
"RANBP17",7023
"MIR3142HG",5205
"LINC01848",4368
"LOC100129636",5168
"SCN10A",12182
"LINC01607",3781
"SLC43A1",10686
"FUBP3",7584
"LOC102724804",6841
"LINC00662",2495
"CWC15",2205
"MIR3912",4064
"SCGB1D2",6237
"COX4I1",2968
"ZNF233",17723
"CRTC3-AS1",3824
"ZNF493",6728
"HNRNPC",5340
"LRRC4B",8345
"CNOT10",3629
"MIR1252",10244
"TGFBRAP1",7657
"KCNQ3",2599
"CCAR1",6629
"NDUFS4",5169
"CYYR1-AS1",5999
"RARG",2970
"OBSCN-AS1",6586
"RHBDL1",4014
"TSC22D4",4045
"GSTA2",3595
"SNORA84",8013
"CNTNAP3B",6939
"FAM222A-AS1",9263
"OR10K1",17600
"EXD3",1329
"FMO1",9121
"KLHL34",5835
"LINC00960",5605
"MMD2",2674
"TSSC4",8915
"TAF11",3314
"FAM49A",3594
"MIR764",5751
"NHLH2",14220
"SNORD115-48",23608
"MIR1264",7595
"NUFIP2",3630
"RHPN2",6607
"KIF19",5870
"MROH6",1680
"LINC00964",7302
"ZSCAN16",7210
"SPC24",2164
"RALB",1869
"SNHG11",3281
"MAP3K20-AS1",1147
"GLUL",2653
"LINC01393",5979
"SH3PXD2A-AS1",10993
"LINC01166",14193
"PDHB",1480
"MIR6081",7554
"LMAN2L",10382
"NGLY1",3369
"ATXN7L2",14054
"ZNF18",6420
"BCORL1",8246
"GNAZ",4250
"MIR5195",8563
"WNT3",5417
"C7orf43",12960
"MIR193B",11337
"TRIM23",1691
"EXOSC6",4511
"IFNE",8305
"PRAMEF1",1255
"LRIT2",10930
"MEIOC",9178
"CT45A6",3403
"ITPKB",7876
"TECRL",6039
"MIR124-3",12220
"SLC4A4",9149
"VSIG1",2411
"MCF2",7604
"CHST7",1874
"OTOL1",2549
"DEC1",4910
"RHBDL2",4900
"ST6GALNAC4",9890
"FAM155B",9311
"ZBTB7A",5895
"GALNT18",3681
"MIR580",4186
"LOC100507053",2397
"LINC00857",9300
"DTX3",9345
"NCRNA00250",6823
"ACTL7B",8893
"DDX12P",3922
"OR5T2",25042
"LARS2-AS1",7804
"RHOT1",2805
"BCS1L",3383
"VENTXP1",5532
"DUBR",3963
"SSB",4130
"HLTF-AS1",9194
"IGFBP7",2610
"ADAM20P1",2442
"BTBD9",3646
"TENT5C",13329
"UCHL1",3977
"NUP210",7426
"FUT6",4372
"MIR3689B",11967
"GTF2F1",9135
"ZFYVE27",1438
"LINC02607",6400
"PSMB1",24872
"ARRB2",1898
"ATAD2",3555
"UNC5A",2333
"GNG3",1811
"PLCG2",10971
"MIR513B",4054
"LOC105372038",3324
"LCMT2",6954
"WDR47",11370
"VWA8",7929
"MTMR7",3281
"KLHL21",4973
"GPR63",5044
"DUSP3",2821
"MIR1266",8317
"PLSCR4",2928
"LOC645188",1339
"NANOG",6162
"CCDC200",2875
"HIST1H4F",2069
"GJD4",2439
"TGFBR1",1786
"ITGA8",4469
"SCD",10923
"RFWD3",2096
"DIABLO",2610
"MIR4791",9102
"TOMM5",2517
"ADORA1",6661
"MOB3B",1299
"DBT",8473
"OR7G2",2414
"BMS1P2",2500
"BCL2A1",2821
"LINC02070",4719
"PCBP1-AS1",3774
"MIR4765",4122
"DUSP18",4085
"LOC286178",7170
"COQ9",4240
"SH3GL1P1",1783
"CEP131",2189
"SIGLEC1",1679
"PI4KA",10181
"MIR4454",7559
"TMEM147",12150
"ACTR10",3915
"SNORD114-16",1668
"CTDSPL",5271
"HNF1A-AS1",3847
"PLK5",1877
"CYCS",1838
"LOC286083",2788
"BIRC6-AS2",2916
"ITFG1-AS1",5100
"MYOCD",3173
"PCDH1",6241
"ATP5MPL",4434
"IBA57",5167
"SPC25",2568
"TUBB4B",5864
"MIR5708",9710
"APTR",1107
"DRD3",4962
"RETNLB",11374
"RPUSD4",4822
"TOR1B",5063
"FIBIN",7641
"ARHGEF25",2474
"RTN1",6246
"TMEM250",5946
"RBCK1",3039
"CD164L2",4183
"SHANK2",7235
"EPO",9475
"DOCK8",6707
"PPP1R12C",4783
"SMIM2-IT1",4263
"PIGBOS1",4269
"TSC22D2",3274
"SYCP2",7754
"DUS4L",5984
"LINC01016",2462
"LINC00324",2915
"ZNF774",1728
"LINC01235",12092
"PARPBP",3437
"TSSK4",1864
"LOC101928140",6939
"UGT1A9",4836
"C12orf50",3552
"MIR600HG",3085
"POMP",8639
"CPA6",6197
"PLGRKT",2681
"GLRX2",4404
"EAF1",4297
"ASB14",4992
"PSMB6",4443
"GPR22",4470
"STPG4",5557
"PPME1",6831
"LINC01141",3882
"MIR920",3971
"SMIM12",7265
"TMEM205",5658
"CST5",3978
"MIR4679-1",1797
"ARHGEF26",4885
"SMAD1",8708
"MIR3914-2",5373
"EFNA2",3473
"MAL",6766
"USP1",4927
"KRTAP6-1",3561
"DSC1",2038
"UCK1",2128
"SNORD116-30",2658
"TMEM184B",5083
"MIR5571",3535
"PKNOX1",3772
"ZNF667-AS1",2642
"SERPINB8",5149
"TICAM2",3121
"NCR3",1522
"MIR153-1",7410
"SMPD4",2366
"ZNF266",3820
"SYPL1",3961
"BICD2",3671
"NLRC3",2776
"SLC39A6",8468
"GFOD2",9423
"MIR139",3831
"PROP1",10949
"NDST1-AS1",2565
"BTF3",2838
"BCL11A",13921
"PALD1",2875
"MRPL23",7519
"ING2",5159
"TMEM135",2970
"ZNF32-AS2",1888
"LOC101929095",12937
"TAS2R50",3942
"DUOXA1",2367
"SLX1B-SULT1A4",3689
"MIR378C",1513
"SUGP2",4915
"LOC101928590",10376
"LRRC45",4571
"CCL20",5540
"SYT6",1768
"MYBPC2",7077
"LINCMD1",3370
"CALML3-AS1",6804
"DENND4C",14899
"ZER1",9092
"SIRPB1",6288
"UCKL1-AS1",5817
"MIR6811",9026
"GPR101",3095
"MIR1184-2",5884
"KRT73-AS1",5596
"LINC01467",1297
"FGB",4091
"OR10J3",8928
"MRGPRX1",15922
"ANKRD45",11690
"IDH3G",2019
"MCM8",2819
"TRIOBP",3846
"EFCAB11",2597
"NUP107",4535
"FAM153C",9523
"COPG2",3630
"CASC1",7098
"MORN4",3661
"GOLGA7B",7510
"CLIC6",10019
"MAT2A",4976
"LINC01180",18598
"LINC01989",3126
"CATSPER2",2778
"CAVIN3",7846
"SAMD8",1771
"HELZ2",8639
"PRELP",21961
"CASP7",3182
"LINC01845",3814
"SNORD116-16",3438
"RSPO2",1424
"MUTYH",4655
"PHKA2-AS1",5546
"LCN8",2124
"LINC00290",1477
"ATP13A5",7277
"MYH11",7259
"SLC13A4",4470
"ITPKB-IT1",7777
"PIGG",7890
"MZF1-AS1",619
"PRG2",3056
"KCNH7",407
"EZR",6079
"MTRNR2L4",13896
"LOC440173",9575
"EDARADD",9262
"MIR134",2173
"MIR605",5306
"CYP11B1",1351
"CIB2",3833
"LOC400655",2952
"LY86",6610
"RTP2",11310
"SLC13A5",2982
"CSPP1",5233
"HIST1H3H",3042
"CLIC1",8906
"POLDIP2",8171
"PPP1R21",1014
"MIR421",6394
"PELI3",6357
"ARFIP2",1710
"HHIP-AS1",4595
"ILVBL",10477
"NT5C3B",10378
"PCMTD2",1085
"HSD3B1",7773
"MTPN",8719
"PALM",9009
"U2AF2",5051
"NAIP",4394
"FAM71F1",1217
"TRIM64C",5493
"TEPSIN",2868
"INS-IGF2",9992
"SACS",3508
"CRSP8P",1965
"CRBN",2339
"SNX19",4551
"KDELR2",5691
"TBC1D14",4573
"MIR6862-2",10982
"CD320",13665
"KRTAP23-1",7804
"CNTD1",6845
"LOC101927377",990
"CYP4B1",3940
"TMEM200C",1761
"NRDE2",7721
"UHRF1",4250
"DTNBP1",570
"SBK1",2819
"SERPINA6",3784
"CABP4",2769
"LINC01364",4483
"ARHGAP12",5498
"SPTSSB",4848
"STRBP",2321
"COG4",3420
"SLC15A5",3741
"NBEA",2236
"TMA7",5288
"MAPK11",10344
"CARD8",3128
"TAB3",7686
"MYH10",8551
"LINC00703",477
"MIR570",10923
"LRCH3",1905
"H1F0",8326
"MRPS23",9059
"TMEM69",4433
"PGA4",7836
"ORC5",7157
"STK31",3018
"NANOS3",3067
"LINC01355",7328
"VWF",321
"ITGA2B",21324
"FOXI2",3079
"PLAGL1",1103
"SDHAP1",7105
"ZNF548",10958
"LIG4",3291
"PTPN18",9193
"SLC14A1",7904
"MBNL1",5175
"PTPN6",7749
"CLEC18B",1741
"PDCL2",6678
"LINC00540",3769
"LEF1",3211
"WWC2-AS2",7035
"MMAA",8223
"AGBL5-AS1",5161
"UBE2Q1-AS1",9326
"DEDD2",9049
"MAGED4",8239
"USP46",4615
"BTBD17",11060
"MIR1261",3131
"LINC01979",2758
"MIR548Y",2604
"RPL14",4355
"KRTAP4-9",5624
"REC114",3527
"LMTK2",4304
"OR5M1",9417
"WDR35",3780
"CALCB",11263
"EIF2AK1",6733
"HMGN5",4419
"CYP24A1",2339
"ASGR2",4443
"RASA2",844
"LRRC37A5P",2105
"DDX42",505
"SPP2",5193
"HSPE1",2502
"SFTPA2",3455
"HOTAIRM1",6741
"IRAK2",6314
"PREB",5943
"MIR499A",3137
"OR51S1",10256
"FOXJ1",2983
"PIGM",8429
"WDR7",9287
"CORT",4315
"SMLR1",16234
"AKAP14",5111
"UPB1",3418
"MEIS1",14876
"LINC02568",5581
"MINAR2",4566
"MRPL46",2995
"SFXN3",4747
"MIR6830",5962
"KU-MEL-3",1662
"GADL1",4620
"GRAMD2B",10787
"ALG1",1841
"C11orf98",4172
"CENPN",2749
"MIR4759",365
"ATP13A2",8884
"SMAD7",4157
"BPGM",2393
"LOC101929705",9091
"FAM83F",7308
"TMEM8B",8363
"CCDC87",12266
"CA2",4913
"DYNLT1",8769
"MIR3168",4550
"LOC101928358",4974
"C1QTNF1",4914
"MBD3",4812
"EMC1-AS1",2631
"WAS",11859
"SNORD61",6680
"C1orf198",3278
"HEMK1",5071
"GDPD3",5446
"PAQR8",17565
"OR2A7",6686
"ZSCAN12",6461
"RBM19",4619
"LAMP1",2115
"LINC00456",5309
"MSANTD3-TMEFF1",11071
"ZNF564",12020
"NRGN",4910
"MIR3193",10492
"MALRD1",1677
"MIR4764",4884
"COQ2",3421
"LINC00599",4921
"NRSN1",12233
"MIR7854",5767
"LINC01480",4003
"FAXC",3548
"AGMAT",8375
